,Target_Salary,Target_Satisfied,LOAN_AMT,Business Title,Civil Service Title,Division/Work Unit,FormalEducation,DevType,HopeFiveYears,Age,purpose,title,dti,earliest_cr_line,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,emp_length,UndergradMajor_0,UndergradMajor_1,UndergradMajor_2,UndergradMajor_3,UndergradMajor_4,CompanySize_0,CompanySize_1,CompanySize_2,CompanySize_3,YearsCodingProf_0,YearsCodingProf_1,YearsCodingProf_2,YearsCodingProf_3,YearsCodingProf_4,YearsCodingProf_0,YearsCodingProf_1,YearsCodingProf_2,YearsCodingProf_3,YearsCodingProf_4,JobSearchStatus_0,JobSearchStatus_1,JobSearchStatus_2,LastNewJob_0,LastNewJob_1,LastNewJob_2,LastNewJob_3,AgreeDisagree1_0,AgreeDisagree1_1,AgreeDisagree1_2,AgreeDisagree1_3,AgreeDisagree1_0,AgreeDisagree1_1,AgreeDisagree1_2,AgreeDisagree1_3,term_0,term_1,loan_status_0,loan_status_1,loan_status_2,loan_status_3
0,42405.0,0,0.2222222222222222,58904.13979385607,0.0,0.0,58530.07004632452,0.20444444444444446,0.22370617696160267,0.22202327663384064,0.219526285384171,0.2213066509711595,5.91,0.27586206896551724,0.22297297297297297,122.67,0.2128982128982129,0.21344902386117137,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,60740.0,1,1.0,58904.13979385607,0.16666666666666666,1.0,58530.07004632452,1.0,0.2006880733944954,0.2032967032967033,0.30303030303030304,0.30303030303030304,16.06,0.38461538461538464,0.29545454545454547,926.35,0.2128982128982129,0.21344902386117137,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,51907.68,0,0.15555555555555556,53789.31784151767,0.16666666666666666,0.0,61481.01478260869,0.25,0.22370617696160267,0.20021762785636563,0.2375,0.125,10.78,0.14285714285714285,0.140625,15813.3,0.2128982128982129,0.21344902386117137,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
3,51907.68,0,0.19117647058823528,53789.31784151767,0.16666666666666666,0.0,58530.07004632452,0.20444444444444446,0.22370617696160267,0.2032967032967033,0.219526285384171,0.2213066509711595,17.06,0.0,0.21830985915492956,829.9,0.2128982128982129,0.18944099378881987,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
4,35.0,1,0.5,15867.350130988592,0.5,0.5,60416.3413122257,1.0,0.2006880733944954,0.20665083135391923,0.2909090909090909,0.2909090909090909,25.37,0.2727272727272727,0.16666666666666666,10128.96,0.16981132075471697,0.18944099378881987,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
5,35.0,0,0.5,15867.350130988592,0.5,0.5,58530.07004632452,0.23529411764705882,0.2006880733944954,0.20665083135391923,0.219526285384171,0.2213066509711595,10.2,0.25,0.2318840579710145,7653.56,0.13636363636363635,0.18944099378881987,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
6,50598.0,0,0.15555555555555556,51236.971699064656,0.28125,0.0,60416.3413122257,0.25,0.22370617696160267,0.20665083135391923,0.219526285384171,0.2213066509711595,14.67,0.25,0.22916666666666666,15681.05,0.2128982128982129,0.18944099378881987,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,50623.0,1,0.15555555555555556,58904.13979385607,0.2857142857142857,1.0,58530.07004632452,0.5,0.22370617696160267,0.22202327663384064,0.2909090909090909,0.2909090909090909,17.61,0.25,0.23943661971830985,14618.23,0.2128982128982129,0.2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8,90000.0,0,0.18617021276595744,58904.13979385607,0.2830188679245283,0.0,60416.3413122257,0.0,0.21975806451612903,0.2032967032967033,0.15877437325905291,0.16165951359084407,13.07,0.15384615384615385,0.2,1814.48,0.2128982128982129,0.2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
9,30683.0,0,0.22580645161290322,35282.25000327378,0.2638888888888889,0.4,58530.07004632452,0.2,0.19616204690831557,0.20021762785636563,0.15877437325905291,0.16165951359084407,34.8,0.23809523809523808,0.21212121212121213,4996.24,0.2191780821917808,0.18944099378881987,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
10,49492.0,0,0.3333333333333333,49757.03266053973,0.058823529411764705,0.14285714285714285,57805.34133826818,0.0,0.21975806451612903,0.20021762785636563,0.219526285384171,0.2213066509711595,22.98,0.3333333333333333,0.21830985915492956,508.3,0.2128982128982129,0.18944099378881987,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
11,87203.0,0,0.17333333333333334,79592.26431300887,0.0,0.125,58530.07004632452,0.25,0.19616204690831557,0.20021762785636563,0.219526285384171,0.2213066509711595,26.4,0.0,0.21830985915492956,363.07,0.2128982128982129,0.18,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
12,87203.0,0,0.25,79592.26431300887,0.0,0.125,60416.3413122257,0.23684210526315788,0.19616204690831557,0.20021762785636563,0.18120805369127516,0.125,34.95,0.2222222222222222,0.125,965.36,0.20689655172413793,0.18944099378881987,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
13,8.75,0,0.24390243902439024,15848.159843299554,0.19230769230769232,0.1935483870967742,58530.07004632452,0.125,0.2549800796812749,0.20021762785636563,0.219526285384171,0.2213066509711595,9.39,0.25,0.2318840579710145,471.7,0.13157894736842105,0.18,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1
14,8.75,0,0.15942028985507245,15848.159843299554,0.19230769230769232,0.1935483870967742,61703.59531396649,0.0,0.13333333333333333,0.20665083135391923,0.219526285384171,0.2213066509711595,21.6,0.0,0.2318840579710145,17093.51,0.2128982128982129,0.21344902386117137,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
15,32086.0,0,0.4,58904.13979385607,0.2638888888888889,0.0,57805.34133826818,0.20444444444444446,0.2006880733944954,0.20021762785636563,0.15877437325905291,0.16165951359084407,22.44,0.2222222222222222,0.1206896551724138,3480.17,0.125,0.2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
16,43292.0,0,0.21052631578947367,49757.03266053973,0.0,0.14285714285714285,58530.07004632452,0.09523809523809523,0.19616204690831557,0.20021762785636563,0.219526285384171,0.2213066509711595,26.02,0.07142857142857142,0.22807017543859648,20807.39,0.21875,0.16,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
17,49492.0,0,0.24390243902439024,56012.947054886725,0.058823529411764705,0.0,57805.34133826818,0.228310502283105,0.2006880733944954,0.2032967032967033,0.219526285384171,0.2213066509711595,8.68,0.25,0.07142857142857142,18004.9,0.2128982128982129,0.18944099378881987,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
18,32086.0,0,0.25,58904.13979385607,0.2638888888888889,0.0,58530.07004632452,0.0,0.21975806451612903,0.20021762785636563,0.15877437325905291,0.16165951359084407,18.28,0.23076923076923078,0.21830985915492956,471.77,0.2128982128982129,0.20408163265306123,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
19,81290.0,0,0.0,58904.13979385607,0.2564102564102564,0.0,58530.07004632452,0.0,0.19616204690831557,0.20021762785636563,0.219526285384171,0.2213066509711595,25.49,0.07142857142857142,0.20408163265306123,8251.42,0.0,0.18944099378881987,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1
20,45174.0,0,0.0,55345.0092707535,0.3333333333333333,0.0,58530.07004632452,0.0,0.2006880733944954,0.2032967032967033,0.219526285384171,0.2213066509711595,21.77,0.1875,0.125,25234.24,0.12244897959183673,0.18944099378881987,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
21,32086.0,0,0.17333333333333334,58904.13979385607,0.2638888888888889,0.3333333333333333,58530.07004632452,0.0,0.2006880733944954,0.1935483870967742,0.15877437325905291,0.16165951359084407,33.18,0.4,0.2328767123287671,12322.68,0.1276595744680851,0.2708333333333333,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
22,49492.0,0,0.15942028985507245,58904.13979385607,0.22807017543859648,0.0,58530.07004632452,0.1,0.18902439024390244,0.22202327663384064,0.219526285384171,0.2213066509711595,7.49,0.16666666666666666,0.328125,12486.3,0.2128982128982129,0.20408163265306123,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
23,38089.0,0,0.23232323232323232,40289.544816877555,0.0,0.25,60416.3413122257,0.0,0.13333333333333333,0.1935483870967742,0.15877437325905291,0.16165951359084407,12.7,0.0,0.22297297297297297,169.17,0.2128982128982129,0.18944099378881987,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
